away_team_code,last_result_vs_opponent,kickoff_time_local,tickets_scanned,match_id,weekday,date,ohl_interest
AND,0,20:45:00,6977.0,dh7ze0l15ri59fuhmnrs8pst0,4,2025-09-26,68.52
CLU,-1,18:15:00,7992.0,dob21hsimmlz7agqzo8irt5w4,5,2025-10-18,100.0
GNT,0,16:00:00,6373.0,duivyh7ccvqb0o2ykwgvaq5uc,6,2025-11-02,66.67
STV,1,19:15:00,5661.0,e1650lh8xyaev5kzm5v3m2kgk,6,2025-11-23,47.22
ZWA,-2,19:15:00,4494.0,e6vo7nt78kq3sax8h8o1ke4gk,6,2025-12-07,39.81
CER,1,19:15:00,5812.0,ecz9iyxyc5ira9n59m8cp3bis,6,2025-12-21,34.16
STG,-5,20:45:00,5322.0,enw1n6mhkzvb6uptwhzs4gowk,5,2026-01-24,47.3
KVM,0,19:15:00,5971.0,eqncupz92qy89z9bxks1e0t90,6,2026-02-01,40.0
DEN,1,16:00:00,5137.0,ewgb5fczpfa71pfzihlip6yok,5,2026-02-14,40.0
WES,-2,16:00:00,6062.0,rf7k8o1xjf0xw5zrgpbtmhg,5,2026-03-07,53.0
